ev_id,ev_type,ev_year,ev_time,ev_highest_injury,ev_nr_apt_loc,latitude,longitude,mid_air,on_ground_collision,light_cond,wx_cond_basic,sky_cond_ceil,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_vel_kts,gust_kts,wx_int_precip,altimeter
20080118X00075,ACC,2008.0,1615,SERS,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,IMC,UNKNOWN,600.0,416.0,32.0,30.0,190.0,5.0,0.0,UNKNOWN,0.0
20080118X00079,ACC,2008.0,1425,FATL,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,VMC,NONE,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20080122X00081,INC,2008.0,1535,MINR,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20080122X00082,ACC,2008.0,1838,SERS,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,OVC,1100.0,416.0,21.0,16.0,360.0,5.0,0.0,UNKNOWN,0.0
20080122X00084,ACC,2008.0,1120,FATL,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,VMC,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20080122X00085,ACC,2008.0,22,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,NITE,VMC,BKN,25000.0,416.0,32.0,19.0,120.0,6.0,0.0,UNKNOWN,0.0
20080122X00086,ACC,2008.0,732,FATL,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,IMC,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20080122X00087,ACC,2008.0,2345,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,7000.0,416.0,66.0,61.0,70.0,4.0,0.0,UNKNOWN,0.0
20080122X00088,INC,2008.0,2345,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,NITE,VMC,NONE,0.0,416.0,37.0,23.0,280.0,6.0,0.0,UNKNOWN,0.0
20080123X00090,ACC,2008.0,2038,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,79.0,68.0,210.0,11.0,0.0,UNKNOWN,0.0
20080123X00091,ACC,2008.0,1911,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,30.0,23.0,200.0,5.0,0.0,UNKNOWN,0.0
20080123X00096,ACC,2008.0,2115,MINR,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,39.0,16.0,140.0,4.0,0.0,UNKNOWN,0.0
20080123X00098,ACC,2008.0,2200,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,55.0,34.0,290.0,3.0,0.0,UNKNOWN,0.0
20080125X00103,ACC,2008.0,1249,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,3800.0,416.0,39.0,30.0,280.0,15.0,0.0,UNKNOWN,0.0
20080125X00104,ACC,2008.0,1037,FATL,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20080128X00108,ACC,2008.0,1734,FATL,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,2100.0,416.0,79.0,64.0,80.0,15.0,0.0,UNKNOWN,0.0
20080128X00111,ACC,2008.0,1830,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,IMC,OVC,600.0,416.0,37.0,36.0,360.0,10.0,0.0,UNKNOWN,0.0
20080129X00115,ACC,2008.0,1930,SERS,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,55.0,16.0,310.0,10.0,0.0,UNKNOWN,0.0
20080129X00116,ACC,2008.0,2320,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,10.0,1.0,0.0,7.0,0.0,UNKNOWN,0.0
20080129X00117,ACC,2008.0,2027,NONE,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,43.0,28.0,0.0,0.0,0.0,UNKNOWN,0.0
20080129X00119,ACC,2008.0,443,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,NITE,IMC,OVC,800.0,416.0,32.0,34.0,300.0,18.0,21.0,UNKNOWN,0.0
20080130X00124,ACC,2008.0,2334,FATL,OFAP,2439350.0,59652314.0,Y,N,DAYL,VMC,NONE,0.0,416.0,61.0,36.0,270.0,7.0,0.0,UNKNOWN,0.0
20080131X00125,ACC,2008.0,2130,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,54.0,37.0,360.0,10.0,14.0,UNKNOWN,0.0
20080201X00130,ACC,2008.0,657,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,NITE,VMC,NONE,0.0,416.0,55.0,46.0,100.0,3.0,0.0,UNKNOWN,0.0
20080204X00131,ACC,2008.0,2105,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,20000.0,416.0,149.0,0.0,280.0,8.0,0.0,UNKNOWN,0.0
