ev_id;ntsb_no;ev_type;ev_date;ev_dow;ev_time;ev_tmzn;ev_city;ev_state;ev_country;ev_site_zipcode;ev_year;ev_month;mid_air;on_ground_collision;latitude;longitude;latlong_acq;apt_name;ev_nr_apt_id;ev_nr_apt_loc;apt_dist;apt_dir;apt_elev;wx_brief_comp;wx_src_iic;wx_obs_time;wx_obs_dir;wx_obs_fac_id;wx_obs_elev;wx_obs_dist;wx_obs_tmzn;light_cond;sky_cond_nonceil;sky_nonceil_ht;sky_ceil_ht;sky_cond_ceil;vis_rvr;vis_rvv;vis_sm;wx_temp;wx_dew_pt;wind_dir_deg;wind_dir_ind;wind_vel_kts;wind_vel_ind;gust_ind;gust_kts;altimeter;wx_dens_alt;wx_int_precip;metar;ev_highest_injury;inj_f_grnd;inj_m_grnd;inj_s_grnd;inj_tot_f;inj_tot_m;inj_tot_n;inj_tot_s;inj_tot_t;invest_agy;ntsb_docket;ntsb_notf_from;ntsb_notf_date;ntsb_notf_tm;fiche_number;lchg_date;lchg_userid;wx_cond_basic;faa_dist_office;dec_latitude;dec_longitude
20080117X00065;DCA08RA028;ACC;2008/1/17 00:00:00;Th;1;UTC;London;;UK;;2008;1;;;;;;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;MINR;;;;0;2;191;0;193;O;;;;;;2024/7/14 18:16:10;andj;;;;
20080117X00067;SEA08FA062;ACC;2008/1/14 00:00:00;Mo;1508;UTC;Lihue;HI;USA;96766;2008;1;;;021512N;1591927W;;Lihue;LIH;OFAP;0,00;;;;WFAC;1453;180;HLI;153;7;UTC;NDRK;SCAT;4100;5500;OVC;;;10,00;68;55;30;U;23;F;F;27;30,12;;;;FATL;;;;1;0;0;0;1;N;;;;;;2020/9/25 18:06:16;;VMC;;21,85;-159,32
20080117X00068;SEA08LA058;ACC;2008/1/10 00:00:00;Th;2215;UTC;Perris;CA;USA;92571;2008;1;;;033535N;0117158W;;;;OFAP;0,00;;;;WFAC;2155;20;RIV;1535;11;UTC;DAYL;CLER;0;0;NONE;;;10,00;64;37;0;U;;F;T;0;30,06;;;;FATL;;;;1;0;0;0;1;N;;;;;;2020/9/25 18:05:31;;VMC;;33,88;-117,25
20080117X00069;SEA08LA063;ACC;2008/1/13 00:00:00;Su;2334;UTC;Centerville;WA;USA;98613;2008;1;;;454259N;0120594W;;;;OFAP;0,00;;;;PILO;;0;;;0;;DAYL;CLER;0;0;NONE;;;10,00;48;43;0;U;;F;T;0;0,00;;;;MINR;;;;0;1;1;0;2;N;;;;;;2020/9/25 18:06:16;;VMC;;45,71;-120,98
20080118X00073;SEA08LA061;ACC;2008/1/14 00:00:00;Mo;329;UTC;San Francisco;CA;USA;94128;2008;1;N;Y;037378N;1222229W;;San Francisco International;KSFO;ONAP;0,00;;13;;WFAC;356;0;KSFO;13;0;UTC;NITE;CLER;0;0;NONE;;;10,00;52;45;0;U;;F;T;0;30,27;;;;NONE;;;;0;0;61;0;61;N;;;;;;2020/9/25 18:06:16;;VMC;;37,61;-122,37
20080118X00074;ANC08LA031;ACC;2008/1/15 00:00:00;Tu;1839;UTC;Bethel;AK;USA;99559;2008;1;;;604647N;1615017W;;Bethel;PABE;ONAP;0,00;;126;;WFAC;1837;0;PABE;126;0;UTC;DAYL;SCAT;1400;3500;BKN;;;10,00;30;27;160;U;17;F;T;0;29,36;;;;MINR;;;;0;1;4;0;5;N;;;;;;2020/9/25 18:04:02;;VMC;;60,77;-161,83
20080118X00075;ANC08LA032;ACC;2008/1/16 00:00:00;We;1615;UTC;Aniak;AK;USA;99557;2008;1;;;613454N;1593230W;;Aniak;PANI;OFAP;1,00;;88;;WFAC;1616;260;PANI;88;1;UTC;DAYL;;0;600;;;;0,50;32;30;190;U;5;F;T;0;29,79;;;;SERS;;;;0;0;0;1;1;N;;;;;;2020/9/25 18:04:02;;IMC;;61,58;-159,54
20080118X00079;DCA08WA027;ACC;2008/1/11 00:00:00;Fr;1425;UTC;Windhoek;;WA;;2008;1;;;223642S;0017454E;;;;;0,00;;;;WFAC;;0;;;0;;;CLER;0;0;NONE;;;;0;0;0;U;;F;F;0;0,00;;;;FATL;;;;6;0;0;0;6;O;;;;;;2020/9/25 18:07:50;;VMC;;-22,61;17,08
20080122X00081;DCA08WA026;INC;2008/1/10 00:00:00;Th;1535;UTC;Penicton;;CA;;2008;1;;;048510N;0119230W;;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;MINR;;;;0;11;77;0;88;O;;;;;;2020/9/25 18:07:50;;;;48,84;-119,38
20080122X00082;CHI08LA067;ACC;2008/1/12 00:00:00;Sa;1838;UTC;Garrison;MN;USA;56401;2008;1;;;461917N;0935025W;;;;OFAP;0,00;;;;WFAC;1806;270;BRD;1232;20;UTC;DAYL;;0;1100;OVC;;;8,00;21;16;360;U;5;F;T;0;30,01;;;;SERS;;;;0;0;0;1;1;N;;;;;;2020/9/25 18:07:03;;VMC;;46,32;-93,84
20080122X00084;DCA08WA030;ACC;2008/1/15 00:00:00;Tu;1120;UTC;Port Said;;EG;;2008;1;;;;;;;;;0,00;;;;WFAC;;0;;;0;;;CLER;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;FATL;;;;2;0;0;0;2;O;;;;;;2020/9/25 18:07:50;;VMC;;;
20080122X00085;CHI08FA066;ACC;2008/1/17 00:00:00;Th;22;UTC;Cleveland;OH;USA;44114;2008;1;;;041313N;0081410W;MEAS;BURKE LAKEFRONT;BKL;OFAP;1,00;;583;;WFAC;2353;180;BKL;583;1;UTC;NITE;;0;25000;BKN;;;10,00;32;19;120;U;6;F;T;0;30,25;;;;FATL;;;;1;0;0;0;1;N;;;;;;2020/9/25 18:06:16;;VMC;;41,51;-81,68
20080122X00086;DCA08WA031;ACC;2008/1/19 00:00:00;Sa;732;UTC;Huambo;;AO;;2008;1;;;012466S;0155418E;;;;;0,00;;;;WIT;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;FATL;;;;13;0;0;0;13;O;;;;;;2020/9/25 18:07:50;;IMC;;-12,76;15,90
20080122X00087;NYC08LA077;ACC;2008/1/7 00:00:00;Mo;2345;UTC;DeLand;FL;USA;32763;2008;1;;;028594N;0811758W;;;;OFAP;0,00;;;;WFAC;2353;230;DAB;34;15;UTC;DAYL;FEW;2000;7000;BKN;;;10,00;66;61;70;U;4;F;T;0;30,30;;;;NONE;;;;0;0;2;0;2;N;;;;;;2020/9/25 18:07:03;;VMC;;28,98;-81,29
20080122X00088;CHI08IA065;INC;2008/1/8 00:00:00;Tu;2345;UTC;Lincoln;NE;USA;68524;2008;1;;;040515N;0964555W;;LINCOLN MUNI;LNK;ONAP;0,00;;1219;;WFAC;2254;0;LNK;1219;0;UTC;NITE;CLER;0;0;NONE;;;10,00;37;23;280;U;6;F;F;0;30,05;;;;NONE;;;;0;0;38;0;38;N;;;;;;2020/9/25 18:06:16;;VMC;;40,85;-96,76
