ev_id;ntsb_no;ev_type;ev_date;ev_dow;ev_time;ev_tmzn;ev_city;ev_state;ev_country;ev_site_zipcode;ev_year;ev_month;mid_air;on_ground_collision;latitude;longitude;latlong_acq;apt_name;ev_nr_apt_id;ev_nr_apt_loc;apt_dist;apt_dir;apt_elev;wx_brief_comp;wx_src_iic;wx_obs_time;wx_obs_dir;wx_obs_fac_id;wx_obs_elev;wx_obs_dist;wx_obs_tmzn;light_cond;sky_cond_nonceil;sky_nonceil_ht;sky_ceil_ht;sky_cond_ceil;vis_rvr;vis_rvv;vis_sm;wx_temp;wx_dew_pt;wind_dir_deg;wind_dir_ind;wind_vel_kts;wind_vel_ind;gust_ind;gust_kts;altimeter;wx_dens_alt;wx_int_precip;metar;ev_highest_injury;inj_f_grnd;inj_m_grnd;inj_s_grnd;inj_tot_f;inj_tot_m;inj_tot_n;inj_tot_s;inj_tot_t;invest_agy;ntsb_docket;ntsb_notf_from;ntsb_notf_date;ntsb_notf_tm;fiche_number;lchg_date;lchg_userid;wx_cond_basic;faa_dist_office;dec_latitude;dec_longitude
20111027X63039;DCA12WA006;INC;2011/10/16 00:00:00;Su;1123;UTC;Bangkok;;TH;;2011;10;;;;;;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;;;;;0;0;0;0;;O;;;;;;2020/9/25 16:00:34;;;;;
20111028X51143;DCA12WA007;ACC;2011/10/24 00:00:00;Mo;;;Faro;;PO;;2011;10;;;;;;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;NONE;;;;0;0;151;0;151;O;;;;;;2020/9/25 16:00:34;;;;;
20111029X13450;ERA12FA052;ACC;2011/10/29 00:00:00;Sa;1421;UTC;Miami;FL;USA;33170;2011;10;;;253331N;0803054W;MEAS;Richards Field;04FA;ONAP;0,00;;9;;WFAC;1453;45;TMB;8;7;UTC;DAYL;FEW;2000;0;NONE;;;10,00;82;75;200;U;9;F;F;16;29,87;;;;FATL;;;;2;0;0;0;2;N;;;;;;2020/9/25 15:57:59;;VMC;;25,55;-80,51
20111029X32246;WPR12LA023;ACC;2011/10/28 00:00:00;Fr;2050;UTC;Prineville;OR;USA;97754;2011;10;;;044843N;1205823W;EST;Bend Municipal Airport;BDN;OFAP;10,00;;3460;;WFAC;2050;270;BDN;;10;UTC;DAYL;CLER;0;0;NONE;;;10,00;63;10;210;U;9;F;T;0;30,05;;;;NONE;;;;0;0;3;0;3;N;;;;;;2020/9/25 15:58:42;;VMC;;44,14;-120,97
20111031X10241;ANC12FA006;ACC;2011/10/30 00:00:00;Su;409;UTC;Iliamna;AK;USA;99606;2011;10;;;594037N;0155612W;MEAS;ILIAMNA;ILI;OFAP;7,00;230;192;;WFAC;2320;6;PAIL;192;60;UTC;NDRK;UNK;0;2000;BKN;;;2,00;34;27;300;U;9;F;T;0;29,30;;;;FATL;;;;1;0;0;0;1;N;;;;;;2020/9/25 15:55:01;;VMC;;59,67;-155,10
20111031X25724;ERA12FA056;ACC;2011/10/31 00:00:00;Mo;2342;UTC;Key West;FL;USA;33040;2011;10;;;243322N;0814534W;MEAS;Key West International Airport;EYW;ONAP;0,00;;3;;WFAC;2353;0;EYW;3;0;UTC;NDRK;;0;1000;BKN;;;10,00;79;73;360;U;12;F;F;17;29,95;;;;SERS;;;;0;3;0;1;4;N;;;;;;2020/9/25 15:57:59;;VMC;;24,55;-81,75
20111031X41340;ANC12WA007;ACC;2011/10/27 00:00:00;Th;2300;UTC;Vancouver;;CA;;2011;10;;;;;;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;;;;;0;0;0;0;;O;;;;;;2020/11/3 20:31:37;;;;;
20111031X42645;ERA12CA053;ACC;2011/10/28 00:00:00;Fr;1940;UTC;Smoketown;PA;USA;17602;2011;10;;;040229N;0076125W;MEAS;Smoketown Airport;S37;ONAP;0,00;;370;;WFAC;1453;319;LNS;403;6;UTC;DAYL;CLER;0;0;NONE;;;10,00;46;28;30;U;3;F;T;0;0,00;;;;SERS;;;;0;0;0;1;1;N;;;;;;2020/9/25 15:55:01;;VMC;;40,04;-76,20
20111031X44724;ENG12RA005;ACC;2010/9/24 00:00:00;Fr;1820;UTC;Palermo (Sicily);;IT;;2010;9;;;;;;Palermo Punta Raisi Airport;LICJ;;0,00;;;;;;0;;;0;;NITE;FEW;1800;0;;;;2,00;0;0;70;U;12;F;F;0;0,00;;;;MINR;;;;0;35;95;0;130;O;;;;;;2021/5/26 12:00:48;;Unk;;;
20111031X45752;ERA12CA054;ACC;2011/10/30 00:00:00;Su;2230;UTC;Amherst;VA;USA;24521;2011;10;;;373625N;0007914W;MEAS;Buffalo Ridge Airsports;N/A;ONAP;0,00;;659;;WFAC;2253;28;LYH;938;14;UTC;DAYL;CLER;0;0;NONE;;;10,00;36;32;0;U;;F;F;0;30,35;;;;SERS;;;;0;0;0;1;1;N;;;;;;2020/9/25 15:55:52;;VMC;;37,60;-79,01
20111031X61401;ERA12CA055;ACC;2011/10/30 00:00:00;Su;1514;UTC;Folkston;GA;USA;31537;2011;10;;;304728N;0082125W;MEAS;;;OFAP;0,00;;;;;1456;135;JAX;68;25;UTC;DAYL;SCAT;4200;0;NONE;;;10,00;66;46;70;U;17;F;F;22;30,20;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 15:55:52;;VMC;;30,79;-82,02
20111101X01353;WPR12CA025;ACC;2011/10/30 00:00:00;Su;2220;UTC;Florence;MT;USA;59833;2011;10;;;463642N;0114248W;MEAS;Ravalli County;6S5;OFAP;25,00;;3642;;WFAC;2153;360;MSO;3206;20;UTC;DAYL;FEW;7000;0;NONE;;;10,00;54;30;110;U;3;F;T;0;30,06;;;;NONE;;;;0;0;3;0;3;N;;;;;;2020/9/25 15:57:18;;VMC;;46,61;-114,04
20111101X24606;CEN12WA046;ACC;2011/10/28 00:00:00;Fr;1930;UTC;Toulouse;;FR;;2011;10;;;;;;Toulouse Blagnac;LFBO;OFAP;0,00;;;;WFAC;1930;0;LFBO;;0;UTC;;FEW;600;2000;BKN;;;5,00;57;55;120;U;1;F;T;0;30,20;;;;FATL;;;;3;0;0;1;4;O;;;;;;2020/11/3 20:31:37;;;;;
20111101X54701;CEN12LA047;ACC;2011/10/15 00:00:00;Sa;15;UTC;Okmulgee;OK;USA;74447;2011;10;;;353751N;0955658W;MEAS;;;OFAP;0,00;;;;;115;90;KOKM;;11;UTC;DAYL;CLER;0;0;NONE;;;10,00;46;43;0;Y;;T;T;0;29,94;;;;SERS;;;;0;1;0;1;2;N;;;;;;2020/9/25 15:55:52;;VMC;;35,63;-95,94
20111101X93229;ERA12FA057;ACC;2011/11/1 00:00:00;Tu;2042;UTC;Taylorsville;GA;USA;30178;2011;11;;;034549N;0845530W;EST;;;OFAP;0,00;;;;WFAC;2053;70;VPC;759;5;UTC;DAYL;CLER;0;0;NONE;;;10,00;68;30;20;U;3;F;T;0;30,26;;;;FATL;;;;1;0;0;0;1;N;;;;;;2020/9/25 15:59:25;;VMC;;34,09;-84,92
20111102X01017;CEN12LA049;ACC;2011/10/29 00:00:00;Sa;2046;UTC;Vienna;OH;USA;44446;2011;10;;;411235N;0804059W;;Smith-Stewart Field Airport;79OH;OFAP;0,00;;1092;;WFAC;2051;360;YNG;1191;4;UTC;DAYL;SCAT;2400;0;NONE;;;10,00;41;32;60;U;4;F;T;0;30,04;;;;SERS;;;;0;0;0;1;1;N;;;;;;2020/9/25 15:55:01;;VMC;;41,20;-80,68
20111102X13005;WPR12CA026;ACC;2011/11/2 00:00:00;We;1950;UTC;Kahlotus;WA;USA;99348;2011;11;;;463742N;1183534W;EST;;;OFAP;0,00;;;;PILO;;0;;;0;;DAYL;CLER;0;0;NONE;;;10,00;0;0;0;U;;F;F;0;0,00;;;;SERS;;;;0;0;0;1;1;N;;;;;;2020/9/25 15:56:37;;VMC;;46,62;-118,59
20111102X44249;ERA12CA059;ACC;2011/11/2 00:00:00;We;1620;UTC;Chesterfield;VA;USA;23237;2011;11;;;037251N;0773932W;MEAS;Chesterfield County Airport;FCI;OFAP;8,00;;236;;WFAC;1556;96;FCI;236;7;UTC;DAYL;CLER;0;0;NONE;;;10,00;61;37;0;U;;F;F;0;30,39;;;;MINR;;;;0;1;0;0;1;N;;;;;;2020/9/25 15:55:01;;VMC;;37,41;-77,65
20111102X50445;CEN11LA688;ACC;2011/8/28 00:00:00;Su;;;Berryville;TX;USA;75763;2011;8;;;003230N;0095302W;MEAS;Paradise Point Airport;3TX1;OFAP;1,00;;345;;;;0;;;0;;DAYL;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;MINR;;;;0;1;0;0;1;N;;;;;;2020/9/25 15:58:42;;VMC;;32,04;-95,50
20111102X65855;CEN12IA050;INC;2011/11/1 00:00:00;Tu;2230;UTC;Hebron;IL;USA;60034;2011;11;;;422518N;0882329W;MEAS;;;OFAP;0,00;;;;WFAC;2235;0;BUU;;0;UTC;DAYL;CLER;0;0;NONE;;;10,00;55;43;180;U;5;F;T;0;29,97;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 15:55:01;;VMC;;42,42;-88,39
20111102X84135;ERA12LA058;ACC;2011/11/1 00:00:00;Tu;2135;UTC;Pompano Beach;FL;USA;33062;2011;11;;;261429N;0080623W;MEAS;Pompano Beach Airpark;PMP;OFAP;1,00;;19;;WFAC;2053;33;PMP;19;1;UTC;DAYL;FEW;2700;4200;BKN;;;10,00;79;70;20;U;16;F;T;0;30,02;;;;MINR;;;;0;2;0;0;2;N;;;;;;2020/9/25 15:58:42;;VMC;;26,24;-80,10
20111103X34623;ERA12IA060;INC;2011/11/3 00:00:00;Th;1613;UTC;Key West;FL;USA;33040;2011;11;;;243322N;0814534W;MEAS;Key West International;EYW;ONAP;0,00;;3;;WFAC;1553;0;EYW;3;0;UTC;DAYL;CLER;0;0;NONE;;;10,00;81;68;0;Y;6;T;T;0;30,07;;;;NONE;;;;0;0;5;0;5;N;;;;;;2020/9/25 15:59:25;;VMC;;24,55;-81,75
20111103X41530;DCA12WA009;ACC;2011/11/1 00:00:00;Tu;1339;UTC;Warsaw;;PL;;2011;11;;;;;;Warszawa-Frédéric Chopin;EPWA;ONAP;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;NONE;;;;0;0;231;0;231;O;;;;;;2020/11/3 20:31:37;;;;;
20111103X43731;ERA12LA061;ACC;2011/11/2 00:00:00;We;2115;UTC;Frederick;MD;USA;21701;2011;11;;;039253N;0772227W;MEAS;Frederick Municipal Airport;FDK;ONAP;0,00;;303;;WFAC;2110;0;FDK;303;0;UTC;DAYL;SCAT;6500;0;NONE;;;10,00;61;37;160;U;6;F;T;0;30,29;;;;MINR;;;;0;1;0;0;1;N;;;;;;2020/9/25 15:59:25;;VMC;;39,41;-77,37
20111103X60153;CEN12RA052;ACC;2011/11/2 00:00:00;We;1358;UTC;Kapuskasing;;CA;;2011;11;;;004990N;0082270W;;;;;0,00;;;;WFAC;1400;360;CYYU;745;15;UTC;DAYL;SCAT;800;1500;OVC;;;6,00;41;41;340;U;5;F;T;0;30,03;;;;FATL;;;;3;0;0;0;3;O;;;;;;2020/9/25 16:00:34;;VMC;;49,15;-82,44
20111103X84328;CEN12CA051;ACC;2011/11/1 00:00:00;Tu;2230;UTC;Borger;TX;USA;79007;2011;11;;;035423N;1012337W;MEAS;;;OFAP;0,00;;;;WFAC;2251;0;KBGD;;20;UTC;DAYL;CLER;0;0;NONE;;;10,00;81;28;180;U;15;F;F;20;29,81;;;;MINR;;;;0;1;0;0;1;N;;;;;;2020/9/25 15:59:25;;VMC;;35,70;-101,39
20111104X45548;DCA12WA010;ACC;2011/10/28 00:00:00;Fr;1544;UTC;Nani;;KE;;2011;10;;;005046N;0395539E;MEAS;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;;;;;0;0;0;0;;O;;;;;;2020/9/25 16:00:34;;;;-0,84;39,92
20111104X64432;CEN12CA054;ACC;2011/11/4 00:00:00;Fr;15;UTC;Woodward;OK;USA;73852;2011;11;;;362617N;0993122W;MEAS;West Woodward Airport;KWWR;ONAP;0,00;;;;WFAC;115;0;KWWR;;0;UTC;DAYL;CLER;0;0;NONE;;;10,00;45;18;0;U;;F;F;0;30,29;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 15:57:59;;VMC;;36,43;-99,52
20111104X80211;DCA11WA113;ACC;2011/5/24 00:00:00;Tu;1300;UTC;Kaduna;;NI;;2011;5;;;104145N;0071912E;MEAS;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;FATL;;;;2;0;0;0;2;O;;;;;;2020/9/25 16:00:34;;;;10,69;7,32
20111104X91020;CEN12LA053;ACC;2011/11/3 00:00:00;Th;2315;UTC;Noblesville;IN;USA;46060;2011;11;;;040118N;0855730W;MEAS;;;OFAP;0,00;;;;WFAC;2315;273;TYQ;922;13;UTC;DUSK;;0;600;OVC;;;5,00;46;46;40;U;11;F;F;16;29,92;;;;MINR;;;;0;6;0;0;6;N;;;;;;2020/9/25 15:55:01;;IMC;;40,02;-85,95
20111106X42733;WPR12LA027;ACC;2011/11/6 00:00:00;Su;1755;UTC;Yucca Valley;CA;USA;92284;2011;11;;;003483N;1162347W;MEAS;Yucca Valley Airport;L22;OFAP;0,00;;;;WFAC;1756;300;NXP;;15;UTC;DAYL;;0;11000;BKN;;;10,00;52;30;20;U;4;F;T;0;30,04;;;;NONE;;;;0;0;2;0;2;N;;;;;;2020/9/25 15:58:42;;VMC;;34,13;-116,39
20111107X82616;WPR12CA028;ACC;2011/10/30 00:00:00;Su;2230;UTC;Grangeville;ID;USA;83530;2011;10;;;455633N;0116725W;EST;Idaho County Airport;KGIC;ONAP;0,00;;;;;;0;;;0;;DAYL;CLER;0;0;NONE;;;10,00;64;0;180;U;5;F;F;10;0,00;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 15:57:18;;VMC;;45,94;-116,12
20111107X85529;ERA12FA062;ACC;2011/11/5 00:00:00;Sa;2044;UTC;Williston;FL;USA;32668;2011;11;;;291437N;0823246W;EST;Wings Field Airport;96FL;ONAP;0,00;;100;;WFAC;2050;90;OCF;90;18;UTC;DAYL;;0;2800;OVC;;;10,00;63;50;30;U;10;F;F;16;30,11;;;;FATL;;;;2;0;0;0;2;N;;;;;;2020/9/25 15:59:25;;VMC;;29,24;-82,54
20111107X90730;ERA12LA063;ACC;2011/11/5 00:00:00;Sa;2120;UTC;West Palm Beach;FL;USA;33412;2011;11;;;264435N;0008032W;EST;;;OFAP;0,00;;;;WFAC;1953;210;PBI;20;4;UTC;DAYL;SCAT;3000;5500;BKN;;;10,00;79;64;20;U;16;F;F;24;29,94;;;;MINR;;;;0;2;0;0;2;N;;;;;;2020/9/25 15:57:59;;VMC;;26,74;-80,05
20111108X00338;WPR11RA480;INC;2011/9/22 00:00:00;Th;2300;UTC;Hassi Messaoud;;AG;;2011;9;;;;;;;;OFAP;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;;;;;0;0;0;0;;O;;;;;;2020/11/3 20:31:38;;VMC;;;
20111108X10934;DCA11WA114;ACC;2010/10/23 00:00:00;Sa;653;UTC;Vipingo Ridge;;KE;;2010;10;;;034635S;0394936E;MEAS;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;FATL;;;;1;0;0;0;1;O;;;;;;2020/9/25 16:00:34;;;;-3,77;39,82
20111108X13522;CEN12LA056;ACC;2011/10/30 00:00:00;Su;1611;UTC;Branson West;MO;USA;65737;2011;10;;;364155N;0093248W;;Branson West Municipal Airport;FWB;ONAP;0,00;;1348;;WFAC;1545;135;KBBG;1302;14;UTC;DAYL;UNK;0;7500;BKN;;;10,00;55;32;220;U;5;F;T;0;30,13;;;;NONE;;;;0;0;4;0;4;N;;;;;;2020/9/25 15:55:01;;VMC;;36,69;-93,40
20111108X34958;ERA12LA066;ACC;2011/11/3 00:00:00;Th;1749;UTC;Fort Lauderdale;FL;USA;33309;2011;11;N;Y;261130N;0080108W;MEAS;Fort Lauderdale Executive;FXE;ONAP;0,00;;13;;;1653;0;FXE;13;0;UTC;DAYL;SCAT;3700;0;NONE;;;10,00;79;64;70;U;14;F;F;20;30,04;;;;NONE;;;;0;0;5;0;5;N;;;;;;2020/9/25 15:57:59;;VMC;;26,19;-80,16
20111108X75705;DCA12WA011;INC;2011/11/3 00:00:00;Th;1110;UTC;Munich;;GE;;2011;11;;;482114N;0114710E;MEAS;Munich Airport;EDDM;ONAP;0,00;;1487;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;NONE;;;;0;0;129;0;129;O;;;;;;2020/11/3 20:31:38;;;;48,35;11,78
20111108X92118;WPR12LA029;ACC;2011/11/8 00:00:00;Tu;2225;UTC;San Diego;CA;USA;92154;2011;11;;;323420N;1165848W;MEAS;Brown Field;SDM;ONAP;0,00;;526;;WFAC;2253;0;SDM;526;0;UTC;DAYL;CLER;0;0;NONE;;;10,00;64;37;290;U;8;F;T;0;30,14;;;;NONE;;;;0;0;2;0;2;N;;;;;;2020/9/25 15:57:59;;VMC;;32,57;-116,98
20111108X95027;ERA12CA064;ACC;2011/11/5 00:00:00;Sa;1515;UTC;Whitefield;NH;USA;3583;2011;11;;;044222N;0713227W;MEAS;Mount Washington Regional;HIE;ONAP;0,00;;1072;;WFAC;1452;0;HIE;1072;0;UTC;DAYL;CLER;0;0;NONE;;;10,00;41;25;0;Y;3;T;T;0;30,40;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 15:55:01;;VMC;;44,36;-71,54
20111109X24500;WPR12LA032;ACC;2011/11/8 00:00:00;Tu;2215;UTC;Williams;CA;USA;95987;2011;11;;;039846N;1222114W;MEAS;Private;;ONAP;0,00;;93;;WFAC;2153;90;MYV;65;37;UTC;DAYL;CLER;0;0;NONE;;;10,00;59;41;280;U;3;F;T;0;30,29;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 15:58:42;;VMC;;39,14;-122,35
20111109X25349;WPR12CA033;ACC;2011/11/9 00:00:00;We;2215;UTC;San Carlos;AZ;USA;85550;2011;11;;;332240N;1102742W;MEAS;San Carlos Airport;4AZ7;ONAP;0,00;;2896;;WFAC;2247;76;IWA;;60;UTC;DAYL;CLER;0;0;NONE;;;45,00;77;36;260;U;7;F;T;0;30,20;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 15:56:37;;VMC;;33,37;-110,46
20111109X52521;ERA12WA067;INC;2011/11/4 00:00:00;Fr;1640;UTC;Quibdo;;CO;;2011;11;;;054124N;0763830W;MEAS;El Carano Airport;SKUI;ONAP;0,00;;204;;WFAC;1700;0;SKUI;204;0;UTC;DAYL;;0;1800;BKN;;;6,00;81;73;0;U;;F;F;0;29,84;;;;NONE;;;;0;0;10;0;10;O;;;;;;2020/11/3 20:31:38;;VMC;;5,69;-76,64
20111109X65832;CEN11CA689;ACC;2011/9/3 00:00:00;Sa;2230;UTC;Gainesville;TX;USA;76240;2011;9;;;033394N;0971130W;MEAS;Gainesville Municipal Airport;GLE;ONAP;0,00;;360;;WFAC;2235;360;KGLE;845;0;UTC;DAYL;CLER;0;0;NONE;;;10,00;97;46;90;U;10;F;F;0;29,76;;;;MINR;;;;0;1;0;0;1;N;;;;;;2020/9/25 15:56:37;;VMC;;33,65;-97,19
20111109X90044;WPR12LA030;ACC;2011/11/8 00:00:00;Tu;1800;UTC;Cheyenne;WY;USA;82001;2011;11;;;041920N;1044837W;MEAS;Cheyenne Regional Airport;CYS;OFAP;20,00;;6159;;WFAC;1753;180;CYS;6159;20;UTC;DAYL;CLER;0;0;NONE;;;10,00;36;16;330;U;11;F;T;0;30,10;;;;NONE;;;;0;0;4;0;4;N;;;;;;2020/9/25 15:59:25;;VMC;;41,15;-104,81
20111109X93553;WPR12FA031;ACC;2011/11/7 00:00:00;Mo;153;UTC;Lake Havasu City;AZ;USA;86404;2011;11;;;034205N;1134316W;EST;Lake Havasu City;HII;OFAP;40,00;;783;;WFAC;201;330;IGM;3449;66;UTC;NDRK;;0;2300;BKN;;;9,00;43;39;200;U;3;F;T;0;29,95;;;;FATL;;;;3;0;0;0;3;N;;;;;;2020/9/25 15:59:25;;VMC;;34,33;-113,72
20111110X01102;WPR12MA034;ACC;2011/11/10 00:00:00;Th;2214;UTC;Pukoo;HI;USA;96748;2011;11;;;002143N;1565035W;EST;;;OFAP;0,00;;;;WFAC;2150;135;PHJH;256;11;UTC;DAYL;SCAT;2500;4000;BKN;;;12,00;73;66;70;U;12;F;F;23;30,04;;;;FATL;;;;5;0;0;0;5;N;;;;;;2024/7/8 20:37:35;broda;VMC;;21,06;-156,84
20111111X12732;CEN12FA058;ACC;2011/11/10 00:00:00;Th;2315;UTC;Alamosa;CO;USA;81101;2011;11;;;372414N;1055135W;MEAS;San Luis Valley Regional;ALS;OFAP;2,00;;7539;;WFAC;2252;360;KALS;7539;2;UTC;DAYL;CLER;0;0;NONE;;;10,00;34;14;260;U;4;F;T;0;30,34;;;;FATL;;;;1;0;0;0;1;N;;;;;;2020/9/25 15:55:01;;VMC;;37,40;-105,85
20111111X25837;CEN12LA060;ACC;2011/11/12 00:00:00;Sa;100;UTC;Eau Claire;WI;USA;54703;2011;11;;;445157N;0091294W;MEAS;Chippewa Valley Regional;EAU;OFAP;0,00;;913;;WFAC;156;90;EAU;913;0;UTC;NITE;CLER;0;0;NONE;;;10,00;37;27;190;U;4;F;T;0;29,62;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 15:55:52;;VMC;;44,86;-91,48
20111111X31005;CEN12LA059;ACC;2011/11/11 00:00:00;Fr;1605;UTC;Sturgis;SD;USA;57785;2011;11;;;044255N;1032231W;MEAS;Sturgis Municipal Airport;49B;ONAP;0,00;;3243;;WFAC;1555;145;RCA;3278;20;UTC;DAYL;CLER;0;0;NONE;;;10,00;52;14;240;U;5;F;T;0;29,76;;;;FATL;;;;1;0;0;0;1;N;;;;;;2020/9/25 15:55:01;;VMC;;44,41;-103,37
20111111X63239;DCA12RA012;ACC;2011/11/11 00:00:00;Fr;1455;UTC;Mexico City;;MX;;2011;11;;;;;;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;FATL;;;;8;0;0;0;8;O;;;;;;2020/11/3 20:31:39;;;;;
20111113X32052;CEN12LA061;ACC;2011/11/12 00:00:00;Sa;2235;UTC;Gladewater;TX;USA;75647;2011;11;;;323126N;0945811W;MEAS;Gladewater Municipal Airport;07F;ONAP;0,00;;297;;WFAC;2153;120;GGG;365;16;UTC;DAYL;FEW;4900;0;NONE;;;10,00;73;55;170;U;16;F;F;23;29,92;;;;SERS;;;;0;4;0;1;5;N;;;;;;2020/9/25 15:55:52;;VMC;;32,52;-94,96
20111113X85646;ERA12FA068;ACC;2011/11/13 00:00:00;Su;2236;UTC;Boynton Beach;FL;USA;33437;2011;11;;;026362N;0814818W;MEAS;;;OFAP;0,00;;;;WFAC;2253;60;PBI;20;12;UTC;DUSK;FEW;3100;0;NONE;;;10,00;75;64;60;U;8;F;T;0;30,12;;;;FATL;;;;2;0;0;0;2;N;;;;;;2020/9/25 15:58:42;;VMC;;26,60;-81,80
20111114X30137;ERA12LA069;ACC;2011/11/9 00:00:00;We;1634;UTC;Nashua;NH;USA;3063;2011;11;;;424655N;0713053W;MEAS;Boire Field;KASH;ONAP;0,00;;199;;WFAC;1652;0;ASH;199;0;UTC;DAYL;CLER;0;0;NONE;;;10,00;64;50;0;U;;F;F;0;30,14;;;;NONE;;;;0;0;2;0;2;N;;;;;;2020/9/25 15:59:25;;VMC;;42,78;-71,51
20111114X31311;WPR12CA035;ACC;2011/11/13 00:00:00;Su;1710;UTC;Vacaville;CA;USA;95688;2011;11;;;382423N;1215814W;MEAS;;;OFAP;0,00;;;;WFAC;1653;180;VCB;117;1;UTC;DAYL;CLER;0;0;NONE;;;7,00;54;48;10;U;4;F;T;0;30,01;;;;SERS;;;;0;0;14;1;15;N;;;;;;2020/9/25 15:56:37;;VMC;;38,40;-121,97
20111114X35910;ERA12LA070;ACC;2011/11/8 00:00:00;Tu;2350;UTC;Kissimmee;FL;USA;34741;2011;11;;;281723N;0812613W;MEAS;Kissimee Gateway;ISM;ONAP;0,00;;82;;WFAC;2345;0;ISM;82;0;UTC;DAYL;CLER;0;0;NONE;;;10,00;73;63;40;U;6;F;T;0;30,05;;;;NONE;;;;0;0;2;0;2;N;;;;;;2020/9/25 15:58:42;;VMC;;28,28;-81,43
20111114X64446;ERA12LA071;ACC;2011/11/5 00:00:00;Sa;1445;UTC;Okeechobee;FL;USA;34972;2011;11;;;271919N;0081126W;MEAS;River Acres Airport;FD70;OFAP;1,00;;30;;WFAC;1435;90;OBE;34;10;UTC;DAYL;CLER;0;0;NONE;;;10,00;63;55;340;U;12;F;F;15;30,02;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 15:58:42;;VMC;;27,32;-81,02
20111114X85154;CEN12CA062;ACC;2011/11/11 00:00:00;Fr;1840;UTC;Connersville;IN;USA;47331;2011;11;;;394153N;0085752W;MEAS;Mettel Field Airport;KCEV;OFAP;1,00;;866;;WFAC;1953;0;KGEZ;;0;UTC;DAYL;CLER;0;0;NONE;;;10,00;46;27;190;U;11;F;T;0;29,97;;;;MINR;;;;0;2;0;0;2;N;;;;;;2020/9/25 15:59:25;;VMC;;39,69;-85,13
20111115X04247;ERA12WA072;ACC;2011/11/14 00:00:00;Mo;525;UTC;Cayman Brac;;CJ;;2011;11;;;194454N;0079456W;MEAS;;;OFAP;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;FATL;;;;2;0;0;0;2;O;;;;;;2020/11/3 20:31:40;;;;19,74;-79,75
20111115X13803;WPR12CA037;ACC;2011/11/11 00:00:00;Fr;2300;UTC;Snohomish;WA;USA;98296;2011;11;;;465417N;0012269W;MEAS;Harvey Field;S43;ONAP;0,00;;22;;PILO;;0;;;0;;DAYL;;600;1400;OVC;;;3,00;39;39;240;U;25;F;F;38;29,88;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 15:57:18;;VMC;;46,90;-122,10
20111115X14851;WPR12CA038;ACC;2011/11/12 00:00:00;Sa;1550;UTC;Phoenix;AZ;USA;85027;2011;11;;;334117N;0112457W;MEAS;Deer Valley Airport;DVT;ONAP;0,00;;1478;;WFAC;1553;0;DVT;1478;0;UTC;DAYL;SCAT;11000;0;NONE;;;10,00;57;32;0;U;;F;F;0;29,90;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 15:56:37;;VMC;;33,68;-112,08
20111115X30049;CEN12CA064;ACC;2011/10/10 00:00:00;Mo;105;UTC;Phillipsburg;KS;USA;67661;2011;10;;;039445N;0099191W;;Phillipsburg Municipal Airport;PHG;ONAP;0,00;;;;;;0;;;0;;NITE;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;NONE;;;;0;0;3;0;3;N;;;;;;2020/9/25 15:59:25;;VMC;;39,73;-99,31
20111115X75739;CEN12CA065;ACC;2011/11/12 00:00:00;Sa;115;UTC;Alexandria;MN;USA;56308;2011;11;;;455158N;0952341W;MEAS;Chandler Field Airport;AXN;ONAP;0,00;;1425;;WFAC;;0;AXN;1425;0;;NITE;CLER;0;0;NONE;;;10,00;30;23;210;U;5;F;T;0;29,95;;;;NONE;;;;0;0;4;0;4;N;;;;;;2020/9/25 15:58:42;;VMC;;45,86;-95,39
