ev_id,Aircraft_Key,crew_no,crew_category,crew_age,med_certf,med_crtf_vldty,date_lst_med,crew_rat_endorse,crew_tox_perf,pc_profession,bfr,bfr_date,ft_as_of,pilot_flying
20080129X00115,1,1,PLT,67.0,CL3,4.0,2007/11/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/6/1 00:00:00,0.0,
20080129X00116,1,1,PLT,70.0,SPRT,4.0,2005/11/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2006/11/1 00:00:00,0.0,
20080129X00117,1,1,FLTI,65.0,CL3,4.0,2006/6/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080129X00117,1,2,DSTU,37.0,SPRT,4.0,2008-01-01,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080129X00119,1,1,PLT,31.0,CL1,4.0,2007/11/19 00:00:00,UNKNOWN,Y,YES,UNKNOWN,2007/11/29 00:00:00,0.0,
20080130X00124,1,1,PLT,73.0,CL3,4.0,2007/1/12 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2007/12/20 00:00:00,0.0,
20080130X00124,2,1,PLT,24.0,CL1,4.0,2007/11/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2008/1/20 00:00:00,0.0,
20080130X00124,2,2,PLT,24.0,CL1,4.0,2006/3/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2007/10/1 00:00:00,0.0,
20080131X00125,1,1,PLT,52.0,CL1,4.0,2007/12/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/11/1 00:00:00,0.0,
20080201X00130,1,1,PLT,29.0,CL1,4.0,2007/11/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2008/1/17 00:00:00,0.0,
20080204X00131,1,1,PLT,22.0,CL2,4.0,2006/11/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008-01-01,0.0,
20080204X00132,1,1,PLT,53.0,UNKNOWN,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080205X00136,1,1,PLT,52.0,CL3,4.0,2007/4/2 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/7/9 00:00:00,0.0,
